volatile acidity,residual sugar,total sulfur dioxide,density,alcohol,quality
0.27,20.7,170,1.001,8.8,6
0.3,1.6,132,0.994,9.5,6
0.28,6.9,97,0.9951,10.1,6
0.23,8.5,186,0.9956,9.9,6
0.23,8.5,186,0.9956,9.9,6
0.28,6.9,97,0.9951,10.1,6
0.32,7,136,0.9949,9.6,6
0.27,20.7,170,1.001,8.8,6
0.3,1.6,132,0.994,9.5,6
0.22,1.5,129,0.9938,11,6
0.27,1.45,63,0.9908,12,5
0.23,4.2,109,0.9947,9.7,5
0.18,1.2,75,0.992,10.8,5
0.16,1.5,143,0.9912,12.4,7
0.42,19.25,172,1.0002,9.7,5
0.17,1.5,112,0.9914,11.4,7
0.48,1.1,99,0.9928,9.6,6
0.66,1.2,75,0.9892,12.8,8
0.34,1.1,171,0.9917,11.3,6
0.31,7.5,133,0.9955,9.5,5
0.66,1.2,75,0.9892,12.8,8
0.31,2.9,102,0.9912,11,7
0.26,1.7,122,0.993,10.5,8
0.67,1.5,168,0.9937,9.3,5
0.27,1.3,142,0.9951,10,6
0.25,9,245,0.9955,10.4,6
0.24,1,146,0.993,10,6
0.28,8.7,141,0.9961,10.5,6
0.27,1.1,132,0.9914,11.6,6
0.32,2,114,0.9906,12.3,7
0.24,10.4,142,0.9974,10,6
0.14,1.1,47,0.9934,10.2,6
0.25,2.05,100,0.992,10.8,6
0.12,1.5,117,0.9939,9,6
0.27,14.95,179,0.9962,10.2,5
0.28,1.7,123,0.9905,12.8,5
0.39,5.4,149,0.9934,10,5
0.33,1.2,138,0.9906,11.2,6
0.24,17.95,149,0.9999,8.6,5
0.24,17.95,149,0.9999,8.6,5
0.23,2.5,158,0.9937,9.4,6
0.24,2.9,157,0.9937,9.4,6
0.31,7.4,160,0.9954,9.8,6
0.24,1.4,152,0.9934,9.5,6
0.23,1.4,154,0.9934,9.5,6
0.18,1.4,167,0.9931,10,7
0.45,4.4,206,0.994,9.8,4
0.46,4.4,207,0.9939,9.8,5
0.31,7.4,160,0.9954,9.8,6
0.19,5,150,0.995,9.8,5
0.19,1.6,173,0.9917,11.7,6
0.25,1.1,124,0.9914,11,7
0.16,1.1,82,0.991,10.9,7
0.18,1,108,0.9911,10.9,6
0.2,0.9,132,0.993,9.1,6
0.25,1.3,191,0.9908,11,6
0.21,11.9,213,0.9962,9.6,6
0.19,12.4,147,0.9972,8.9,6
0.38,4.6,78,0.9931,10.2,6
0.2,1.2,111,0.9926,9.9,6
0.22,4.9,123,0.9951,8.6,6
0.19,12.4,147,0.9972,8.9,6
0.47,1.1,151,0.991,10.5,5
0.38,4.6,78,0.9931,10.2,6
0.24,1.4,122,0.9927,10.3,6
0.35,1.2,120,0.9934,9.1,5
0.26,6.4,124,0.9903,12.6,7
0.25,1.2,174,0.992,9.8,5
0.23,2.1,96,0.9926,10.7,8
0.24,10.1,105,0.9962,9.5,5
0.27,7.8,244,0.9956,9,6
0.3,4.6,238.5,0.9958,9.5,5
0.27,4.8,201,0.9964,10,5
0.23,1,72,0.9941,9.1,6
0.23,2.1,96,0.9926,10.7,8
0.24,10.1,105,0.9962,9.5,5
0.18,1.4,87,0.9898,12.7,7
0.32,1.3,69,0.9912,12,7
0.18,8.8,103,0.9961,9.3,5
0.54,5.4,105,0.9949,9,5
0.22,1.4,114,0.9929,10.6,6
0.2,16,166,0.9985,9.2,6
0.34,6.1,164,0.9946,10,5
0.22,8.2,207,0.9966,9.5,6
0.43,11.8,155,0.9974,8.7,5
0.44,11.8,152,0.9975,8.7,6
0.39,11,156,0.9974,8.7,6
0.25,13.3,202,0.9972,9.7,6
0.43,11.8,155,0.9974,8.7,5
0.44,11.8,152,0.9975,8.7,6
0.39,11,156,0.9974,8.7,6
0.27,7.5,243,0.9957,9,5
0.24,1.7,136,0.99,12.6,7
0.21,1.8,136,0.9899,12.6,7
0.17,1.7,148,0.9916,11.5,7
0.26,12.4,240,0.9969,9.2,6
0.34,15.9,164,0.9979,8.8,6
0.265,1.2,80,0.9913,11.4,7
0.36,10.5,83,0.9956,10.1,4
0.34,15.9,164,0.9979,8.8,6
0.25,13.5,192,0.9975,9.1,5
0.12,9.6,162,0.9962,9.4,5
0.21,12.1,164,0.997,9.4,5
0.305,18.9,170,1,9,5
0.25,13.5,192,0.9975,9.1,5
0.13,14.4,109,0.9974,9.2,6
0.12,9.6,162,0.9962,9.4,5
0.23,16.5,171,0.999,9.1,6
0.23,16.5,171,0.999,9.1,6
0.33,1.3,187,0.9927,10.3,5
0.17,8.5,163,0.9959,8.8,6
0.27,18.75,255,1,8.9,5
0.31,13.3,195,0.9982,9.2,5
0.41,9.2,150,0.9968,9.1,5
0.41,9.2,150,0.9968,9.1,5
0.485,1.5,103,0.994,9.7,4
0.31,3.3,143,0.9914,11.3,6
0.14,1.7,85,0.9911,11.8,6
0.31,13.3,195,0.9982,9.2,5
0.32,13.3,196,0.9982,9.2,5
0.36,5.7,87,0.9934,10.2,5
0.24,12.2,138,0.9984,8.8,5
0.16,6.85,131,0.9952,9.7,5
0.19,5,146,0.9952,9.1,6
0.13,1.6,158,0.9928,9.8,6
0.19,1.1,143,0.9912,11,6
0.39,7,126,0.994,10.5,5
0.24,7.6,203,0.9958,9.7,7
0.3,2.8,179,0.9924,10.9,7
0.3,2.7,184,0.9924,10.9,6
0.26,10.4,57,0.994,10.6,5
0.24,7.6,203,0.9958,9.7,7
0.425,13.1,241,0.9979,9,5
0.24,15.8,188,0.9982,9.2,5
0.27,8.1,203,0.9961,8.9,5
0.27,15.7,179,0.9979,9.6,5
0.23,1.2,121,0.992,10.7,6
0.37,10.5,155,0.9975,8.7,5
0.19,1.9,96,0.9917,10.8,7
0.28,1.9,79,0.9923,11.8,6
0.31,2.2,77,0.9927,10.2,5
0.37,10.5,155,0.9975,8.7,5
0.21,1.2,107,0.992,10.8,6
0.21,4.3,99,0.9947,9.7,6
0.2,2,87,0.9921,11.2,6
0.255,1.1,114,0.9905,10.9,6
0.16,1.4,168,0.9918,10.1,6
0.595,5.2,97,0.9951,9,4
0.34,4.6,80,0.9917,12,7
0.25,4.1,116,0.994,9.4,6
0.22,8,152,0.9934,11.5,7
0.18,10.2,135,0.9968,9.9,6
0.25,4.1,116,0.994,9.4,6
0.18,1.2,97,0.9919,10.4,5
0.23,7.5,76,0.9966,9.7,6
0.24,14,198,0.9979,8.9,6
0.24,14,198,0.9979,8.9,6
0.32,1.5,124,0.9898,12.4,7
0.44,1.4,119,0.9894,12.1,8
0.44,1.4,119,0.9894,12.1,8
0.32,1.5,124,0.9898,12.4,7
0.22,14.5,159,0.998,9.1,5
